Reviewer Name,Review Title,Review Text,Review Date,Star Rating,Image URL
Amazon Customer,Powerful Gaming Beast: ASUS TUF Gaming A15 Review,"I've been using the ASUS TUF Gaming A15 with AMD Ryzen 7 7435HS for a few weeks now, and I'm impressed by its raw power and features. Here's my detailed review:
Pros:
- Lightning-Fast Performance: The Ryzen 7 7435HS processor handles demanding games and tasks with ease, providing seamless gaming and content creation experiences.
- Immersive Gaming: The NVIDIA GeForce RTX 3060 graphics card delivers stunning visuals, and the 144Hz display ensures smooth gameplay.
- Long-Lasting Battery: The laptop lasts up to 6 hours on a single charge (Regular use), making it perfect for long gaming sessions or work trips.
- Ergonomic Design: The TUF Gaming A15's rugged design and comfortable keyboard make it ideal for extended use.
- Affordable: Considering its specs and performance, this laptop is a great value for money.
Cons:
- Thermal Management: The laptop can get hot during intense gaming sessions, but the dual-fan design helps keep temperatures in check.
- Webcam Quality: The webcam could be better, but it's not a deal-breaker for me.
Overall, the ASUS TUF Gaming A15 is an excellent choice for gamers and content creators seeking a powerful, feature-packed laptop without breaking the bank. Its performance, display, and battery life make it a top contender in its class.
Recommendation: If you're looking for a reliable gaming laptop with impressive specs, look no further than the ASUS TUF Gaming A15.
Rating Breakdown:
- Performance: 5/5
- Display: 5/5
- Battery Life: 4.5/5
- Design: 4.5/5
- Value: 5/5
Would I recommend it? Absolutely!


Read more",Reviewed in India on 20 August 2024,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Amazon Customer,"4.0 out of 5 stars
Amazing device with disappointing battery","Great laptop in this price segment. Everything is perfect except for battery. But in this price, it's justified that there will be one disadvantage and it is battery. One needs to keep it plugged in. It will only last for 1 hour on normal usage.


Read more",Reviewed in India on 10 August 2025,4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
EveRestEver,Best in 60k Price bracket......,"Everything is best from dispay to performance. Overall built quality is great. Heating is also normal. Faster speeds on normal to heavy usage. I would recommend it.....


Read more",Reviewed in India on 23 September 2025,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Ravi Sharma,"1.0 out of 5 stars
Battery drain","The media could not be loaded.
                








Charging Issue and Screen Flickering in New Laptop – Needs Immediate Attention
Review
I recently purchased this laptop, and unfortunately, I'm facing an issue with the charging. Whenever I plug it in to charge, the screen starts blinking intermittently, and for a few seconds, it even goes completely black. This happens every time I plug it in, regardless of whether it's on battery or plugged into the charger.
I have attached a video to showcase the problem for a clearer understanding. Despite the laptop being brand new, this issue seems to persist. I’ve tried reconnecting the charger, performing a power reset, and checking for any loose connections, but the problem still exists.
Pros
- The laptop is fast and smooth when it's working fine.
- The design and build quality are great.
**Cons**:
- Screen flickering and blackouts during charging.
- Battery charging seems inconsistent at times.
I hope the manufacturer can look into this issue and provide a solution, as this is a significant concern with a new device.
Bettery problem drain.
Don not by on this website


Read more",Reviewed in India on 1 April 2025,1.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Balwant Singh Janghel,Good laptop,"Good
Display is good
Weight is 2.3kg
Sound is good
Laptop is very fast
Quality is excellent


Read more",Reviewed in India on 26 September 2025,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Deepanshu,"4.0 out of 5 stars
Overall great performance","The media could not be loaded.
                








// this is after using for 9 months
I used my system for coding and programming purposes not for gaming...
My laptop battery run only for 90min . After this time u need a charging port. And if you want to use it for medium size gaming purpose then first you put machine in charging port and then Play.
So main problem it battery has very short time duration. You can't work for 4 to 5 hrs without electricity.
Overall it is a good machine ...for coding and programming purpose.
// this is my first review
Performance is good and easy to use and ,,it is capable to run medium size games ...
I am using for it coding and programs purpose ...to u can easily do multi tabing without any lagging.
Display quality is good and u can watch it at 178° also with clear vision.
I used it for one month and I face one problem that is battery...
Battery charging is very fast it allmost full  within 50mins ....
But it drains battery in 90min approx.
So if you want to use it for 3 to 4 hrs battery back than it is not a good choice
Or
Use it with continuous on charging mode .
Heating issues:-
Laptop get heated if it doesn't get proper ventilation so use it on a laptop stand so that is remain cool and gives you smooth performance.


Read more",Reviewed in India on 7 November 2024,4.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Placeholder,Best of Best❤️‍🔥,"Smooth display and attractive RGB Keyboard which gave a complete gaming look..
Without plugin it uses igpu and battery last for min 3 hrs which is good..
Obviously we can't expect a much battery life during gaming..
7445hs handles the day to day tasks effortlessly..
With the combination of rtx 3050, it is a solid performance beast..
Has dts, delivers good quality of Sound..
Minimal heat level.. superb heat dissipation through dual fan..
It's bit heavy..
Overall, worth a every penny.


Read more",Reviewed in India on 29 September 2025,5.0 out of 5 stars,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
Placeholder,"3.0 out of 5 stars
Screen green dot","When we open our laptop then we see there are green dot on laptop this only seen when the laptop background is black


Read more",Reviewed in India on 8 September 2025,3.0 out of 5 stars,N/A
Dubey Ji,N/A,N/A,N/A,N/A,N/A
Dubey Ji,N/A,N/A,N/A,N/A,N/A
Abu,N/A,N/A,N/A,N/A,N/A
Abu,N/A,N/A,N/A,N/A,N/A
manoj singh,N/A,N/A,N/A,N/A,N/A
manoj singh,N/A,N/A,N/A,N/A,N/A
